Runde;Block;Gebot;Bietender
13;01K 3,6 GHz;Kein Gebot;Kein Gebot
13;02A 3,6 GHz;2057000;Telekom
13;03A 3,6 GHz;2262000;Telefónica Deutschland
13;04A 3,6 GHz;2262000;Telefónica Deutschland
13;05A 3,6 GHz;2262000;Telefónica Deutschland
13;06A 3,6 GHz;2262000;1&1 Drillisch
13;07A 3,6 GHz;2262000;Telekom
13;08A 3,6 GHz;2262000;Telekom
13;09A 3,6 GHz;2262000;Telekom
13;10A 3,6 GHz;2262000;1&1 Drillisch
13;11A 3,6 GHz;2262000;Telekom
13;12A 3,6 GHz;2262000;Telekom
13;13A 3,6 GHz;2262000;Vodafone
13;14A 3,6 GHz;2057000;Telefónica Deutschland
13;15A 3,6 GHz;2057000;Telefónica Deutschland
13;16A 3,6 GHz;2057000;Telefónica Deutschland
13;17A 3,6 GHz;2057000;Telefónica Deutschland
13;18A 3,6 GHz;2262000;Telekom
13;19A 3,6 GHz;2262000;Telekom
13;20A 3,6 GHz;2057000;Vodafone
13;21A 3,6 GHz;2057000;Vodafone
13;22A 3,6 GHz;2057000;Vodafone
13;23A 3,6 GHz;2057000;Vodafone
13;24A 3,6 GHz;23870000;Vodafone
13;25A 3,6 GHz;23870000;Vodafone
13;26A 3,6 GHz;21700000;1&1 Drillisch
13;27A 3,6 GHz;21700000;1&1 Drillisch
13;28A 3,6 GHz;21700000;1&1 Drillisch
13;29K 3,6 GHz;23870000;Telekom
14;01A 2 GHz;8857000;Telefónica Deutschland
14;02A 2 GHz;8052000;Vodafone
14;03A 2 GHz;8857000;Telekom
14;04A 2 GHz;8857000;Telekom
14;05A 2 GHz;8857000;1&1 Drillisch
14;06A 2 GHz;8857000;Telekom
14;07A 2 GHz;27500000;Vodafone
14;08A 2 GHz;25000000;1&1 Drillisch
14;09A 2 GHz (2026);6640000;Telefónica Deutschland
14;10A 2 GHz (2026);6640000;Telefónica Deutschland
14;11A 2 GHz (2026);23750000;1&1 Drillisch
14;12A 2 GHz (2026);26125000;Vodafone
14;01K 3,6 GHz;Kein Gebot;Kein Gebot
14;02A 3,6 GHz;2262000;Telefónica Deutschland
14;03A 3,6 GHz;2262000;Telefónica Deutschland
14;04A 3,6 GHz;2262000;Telefónica Deutschland
14;05A 3,6 GHz;2262000;Telefónica Deutschland
14;06A 3,6 GHz;2262000;1&1 Drillisch
14;07A 3,6 GHz;2262000;Telekom
14;08A 3,6 GHz;2262000;Telekom
14;09A 3,6 GHz;2262000;Telekom
14;10A 3,6 GHz;2488000;Telekom
14;11A 3,6 GHz;2262000;Telekom
14;12A 3,6 GHz;2262000;Telekom
14;13A 3,6 GHz;2262000;Vodafone
14;14A 3,6 GHz;2262000;Vodafone
14;15A 3,6 GHz;2262000;Vodafone
14;16A 3,6 GHz;2057000;Telefónica Deutschland
14;17A 3,6 GHz;2057000;Telefónica Deutschland
14;18A 3,6 GHz;2262000;Telekom
14;19A 3,6 GHz;2262000;Telekom
14;20A 3,6 GHz;2262000;Telefónica Deutschland
